Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,28,29,13848,-2
2,24,27,13842,-6
3,11,12,13813,-29
4,15,23,13809,-4
5,10,11,13796,-13
6,1,3,13777,-19
7,19,24,13772,-5
8,5,6,13769,-3
9,12,13,13766,-3
10,23,24,13760,-6
11,20,22,13746,-14
12,14,15,13710,-36
13,17,18,13707,-3
14,13,16,13693,-14
15,4,12,13682,-11
16,18,21,13673,-9
17,0,5,13662,-11
18,9,19,13635,-27
19,8,11,13607,-28
20,2,4,13575,-32
21,21,25,13572,-3
22,3,17,13565,-7
23,24,25,13559,-6
24,11,14,13555,-4
25,15,22,13546,-9
26,10,13,13526,-20
27,14,19,13517,-9
28,4,8,13506,-11
29,18,23,13502,-4
30,11,14,13501,-1
31,4,11,13498,-3
32,4,7,13483,-15
